family,mechanism,role,variant,instrument,session,entry_model,orb_minutes,rr_target,k_family,n_is,exp_r_is,t_stat,p_value,q_value,wfe,era_dead,n_oos,exp_r_oos,mean_cost_to_risk,classification
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E1,30,2.0,594,1713,-0.12311231757151195,-4.116058378361482,4.037373401052338e-05,0.0003814255397309972,,True,75,0.00414666666666666,0.11666557889235468,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E2,15,1.5,594,1719,-0.12454083769633507,-4.909265209781474,1.000874585550993e-06,1.693102505714795e-05,,True,76,-0.2036394736842105,0.15203040215464544,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E1,30,1.5,594,1713,-0.13400712200817277,-5.1506172195617115,2.8961680203838903e-07,5.812123524136863e-06,,True,75,-0.009583999999999992,0.11666557889235468,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E1,15,1.0,594,1719,-0.14617079697498545,-7.035150359620277,2.863946859050404e-12,1.9277942294983032e-10,,True,76,-0.1442934210526316,0.14389173910183023,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E1,15,2.0,594,1719,-0.15929627690517742,-5.459569239086471,5.469854718721513e-08,1.309118562680682e-06,,True,76,-0.17749999999999996,0.14389173910183023,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E1,15,1.5,594,1719,-0.16917713787085514,-6.688421352338957,3.042066450889234e-11,1.5853091456166315e-09,,True,76,-0.19484210526315784,0.14389173910183023,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E2,5,1.0,594,1719,-0.16986713205351953,-8.817492214337086,2.810604556146547e-18,8.648631734199518e-16,,True,87,-0.07801264367816095,0.20908437065400712,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E2,5,2.0,594,1719,-0.1899598603839441,-6.938263931617707,5.603448920870094e-12,3.4485225644440523e-10,,True,87,-0.13385862068965518,0.20908437065400712,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E2,5,1.5,594,1719,-0.19016951716114017,-8.022254712223035,1.9037450900682912e-15,2.9290478028622137e-13,,True,87,-0.1532425287356322,0.20908437065400712,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E1,5,1.5,594,1719,-0.23362268760907504,-9.836207526568176,3.003515868045878e-22,1.7644290490284058e-19,,True,87,-0.17227931034482757,0.19567968104664515,UNSUPPORTED_NULL_OR_NEGATIVE
