session,om,rr,dir,filter,n_full,t_full,expr_full,is_t,oos_n,oos_expr,oos_t,oos_pw,tier,dir_match,p_full,bh_rank,bh_crit,bh_pass_Kfamily
CME_REOPEN,15,1.5,long,atr_20_pct>=60,232,0.13,0.0073,-1.87,70,0.3003,2.53,0.23,STATISTICALLY_USELESS,False,0.8966795574804222,1834,0.04603413654618474,False
US_DATA_830,30,1.0,short,overnight_range_pct>=70,177,0.13,0.0082,-0.45,54,0.103,0.8,0.06,STATISTICALLY_USELESS,False,0.8967148851251936,1835,0.04605923694779117,False
COMEX_SETTLE,5,1.5,long,garch_forecast_vol_pct>=70,164,-0.13,-0.0106,-0.3,50,0.0278,0.18,0.05,STATISTICALLY_USELESS,False,0.8967267160432278,1836,0.0460843373493976,False
US_DATA_1000,15,1.0,long,overnight_range_pct>=80,138,0.13,0.0099,-1.1,42,0.2506,1.81,0.11,STATISTICALLY_USELESS,False,0.8967571073585052,1837,0.04610943775100402,False
COMEX_SETTLE,5,1.0,long,overnight_range_pct>=80,133,-0.13,-0.0087,-0.71,40,0.1001,0.72,0.07,STATISTICALLY_USELESS,False,0.8967643230594605,1838,0.04613453815261045,False
SINGAPORE_OPEN,15,1.5,long,garch_forecast_vol_pct<=30,111,0.13,0.0127,-0.47,34,0.1591,0.79,0.06,STATISTICALLY_USELESS,False,0.8968038558630229,1839,0.04615963855421687,False
NYSE_OPEN,15,1.5,short,day_of_week==3,103,0.13,0.0128,-0.59,31,0.2024,1.03,0.07,STATISTICALLY_USELESS,False,0.8968224541131049,1840,0.0461847389558233,False
US_DATA_1000,30,1.0,long,day_of_week==3,102,0.13,0.0097,0.82,31,-0.1328,-0.88,0.08,STATISTICALLY_USELESS,False,0.8968249857839906,1841,0.04620983935742972,False
NYSE_OPEN,5,1.5,short,day_of_week==2,101,0.13,0.0144,-0.24,31,0.1147,0.54,0.05,STATISTICALLY_USELESS,False,0.8968275680217855,1842,0.04623493975903614,False
US_DATA_1000,15,2.0,long,day_of_week==0,97,-0.13,-0.0141,-0.89,30,0.2092,0.93,0.09,STATISTICALLY_USELESS,False,0.8968384342025537,1843,0.04626004016064257,False
