inst,sess,apt,rr,dir,n_on,n_off,expr_on,expr_off,delta
MNQ,BRISBANE_1025,30,2.0,long,203,566,0.17589458128078814,-0.06748109540636046,0.2433756766871486
MNQ,BRISBANE_1025,30,2.0,short,174,497,-0.004914367816091914,-0.04951649899396379,0.04460213117787188
MES,CME_REOPEN,5,1.0,long,102,246,-0.24431078431372547,-0.0373849593495935,-0.20692582496413198
MES,CME_REOPEN,5,1.0,short,101,274,-0.011333663366336632,-0.13676240875912407,0.12542874539278745
MES,CME_REOPEN,5,1.5,long,92,211,-0.4199630434782609,-0.09624407582938388,-0.32371896764887703
MES,CME_REOPEN,5,1.5,short,90,245,-0.07146222222222223,-0.2078436734693878,0.13638145124716558
MES,CME_REOPEN,5,2.0,long,89,191,-0.45957977528089894,-0.15001465968586386,-0.3095651155950351
MES,CME_REOPEN,5,2.0,short,86,234,-0.07964767441860465,-0.23931923076923078,0.15967155635062613
MES,CME_REOPEN,15,1.0,long,73,166,-0.2362698630136986,-0.05690421686746989,-0.1793656461462287
MES,CME_REOPEN,15,1.0,short,65,171,0.12812,-0.029502923976608187,0.1576229239766082
MES,CME_REOPEN,15,1.5,long,66,148,-0.5223803030303029,-0.09460810810810812,-0.4277721949221948
MES,CME_REOPEN,15,1.5,short,63,154,0.16816031746031745,-0.0530201298701299,0.22118044733044734
MES,CME_REOPEN,15,2.0,long,65,143,-0.5834907692307693,-0.19013916083916083,-0.39335160839160843
MES,CME_REOPEN,15,2.0,short,61,149,0.0536016393442623,-0.12119194630872486,0.17479358565298717
MES,CME_REOPEN,30,1.0,long,52,104,-0.2575519230769231,0.01099134615384615,-0.26854326923076927
MES,CME_REOPEN,30,1.0,short,37,104,0.24593513513513515,-0.042517307692307695,0.28845244282744287
MES,CME_REOPEN,30,1.5,long,52,96,-0.46227692307692314,-0.07903854166666663,-0.3832383814102565
MES,CME_REOPEN,30,1.5,short,37,98,0.1839918918918919,-0.048301020408163274,0.2322929123000552
MES,CME_REOPEN,30,2.0,long,52,94,-0.4615730769230769,-0.14686489361702126,-0.31470818330605566
MES,CME_REOPEN,30,2.0,short,37,97,0.12298378378378377,-0.00960309278350516,0.13258687656728893
MES,TOKYO_OPEN,5,1.0,long,171,529,-0.004749122807017538,-0.16625387523629487,0.16150475242927734
MES,TOKYO_OPEN,5,1.0,short,187,560,0.002385026737967913,-0.18158767857142863,0.18397270530939655
MES,TOKYO_OPEN,5,1.5,long,171,529,-0.04401403508771926,-0.1769931947069944,0.13297915961927514
MES,TOKYO_OPEN,5,1.5,short,187,560,-0.03486363636363637,-0.1832717857142858,0.14840814935064942
MES,TOKYO_OPEN,5,2.0,long,171,529,0.07997251461988306,-0.15050415879017015,0.2304766734100532
MES,TOKYO_OPEN,5,2.0,short,187,560,-0.07192032085561496,-0.19903071428571428,0.12711039343009933
MES,TOKYO_OPEN,15,1.0,long,164,555,0.02979573170731706,-0.13093405405405406,0.16072978576137112
MES,TOKYO_OPEN,15,1.0,short,194,532,-0.06590979381443297,-0.09491428571428566,0.029004491899852686
MES,TOKYO_OPEN,15,1.5,long,164,555,0.08431951219512196,-0.12116648648648648,0.20548599868160844
MES,TOKYO_OPEN,15,1.5,short,194,532,-0.15333453608247424,-0.1193665413533835,-0.03396799472909075
MES,TOKYO_OPEN,15,2.0,long,164,554,0.17178414634146338,-0.1145436823104693,0.2863278286519327
MES,TOKYO_OPEN,15,2.0,short,194,532,-0.1354742268041237,-0.16120075187969926,0.025726525075575574
MES,TOKYO_OPEN,30,1.0,long,184,567,-0.030803804347826074,-0.09591375661375662,0.06510995226593054
MES,TOKYO_OPEN,30,1.0,short,174,508,0.003974712643678183,-0.082807874015748,0.08678258665942619
MES,TOKYO_OPEN,30,1.5,long,184,566,-0.011335869565217396,-0.13133356890459363,0.11999769933937623
MES,TOKYO_OPEN,30,1.5,short,173,507,-0.04980982658959538,-0.1855092702169625,0.13569944362736713
MES,TOKYO_OPEN,30,2.0,long,184,563,-0.02094076086956521,-0.09686873889875665,0.07592797802919143
MES,TOKYO_OPEN,30,2.0,short,173,507,-0.08061040462427749,-0.19742149901380673,0.11681109438952925
MES,SINGAPORE_OPEN,5,1.0,long,177,570,-0.07690847457627116,-0.25762228070175436,0.1807138061254832
MES,SINGAPORE_OPEN,5,1.0,short,181,519,-0.11586685082872927,-0.23332543352601157,0.1174585826972823
MES,SINGAPORE_OPEN,5,1.5,long,177,570,-0.08283107344632766,-0.2349628070175439,0.15213173357121623
MES,SINGAPORE_OPEN,5,1.5,short,181,519,-0.20770939226519336,-0.26040019267822745,0.05269080041303409
MES,SINGAPORE_OPEN,5,2.0,long,177,570,-0.06404971751412426,-0.2401894736842105,0.17613975617008626
MES,SINGAPORE_OPEN,5,2.0,short,181,519,-0.24639005524861876,-0.28040809248554915,0.03401803723693039
MES,SINGAPORE_OPEN,15,1.0,long,189,584,-0.08370052910052912,-0.17367157534246577,0.08997104624193665
MES,SINGAPORE_OPEN,15,1.0,short,168,505,-0.13475357142857142,-0.15865584158415838,0.023902270155586963
MES,SINGAPORE_OPEN,15,1.5,long,189,584,-0.004121164021163999,-0.16976712328767124,0.16564595926650724
MES,SINGAPORE_OPEN,15,1.5,short,168,505,-0.1764732142857143,-0.15155128712871294,-0.024921927157001367
MES,SINGAPORE_OPEN,15,2.0,long,188,584,0.010383510638297871,-0.145486301369863,0.15586981200816089
MES,SINGAPORE_OPEN,15,2.0,short,168,505,-0.10403333333333335,-0.17511366336633666,0.0710803300330033
MES,SINGAPORE_OPEN,30,1.0,long,203,570,-0.017151231527093597,-0.09704228070175439,0.07989104917466079
MES,SINGAPORE_OPEN,30,1.0,short,153,512,-0.075878431372549,-0.12198964843749999,0.046111217064950985
MES,SINGAPORE_OPEN,30,1.5,long,202,569,0.015156435643564357,-0.08439244288224959,0.09954887852581396
MES,SINGAPORE_OPEN,30,1.5,short,153,512,-0.16961045751633982,-0.15680488281250007,-0.01280557470383975
