orb_label,rr_target,direction,signal,n_on_is,n_off_is,expr_on_is,expr_off_is,delta_is,winrate_on_is,winrate_off_is,welch_t,welch_p,n_on_oos,n_off_oos,expr_on_oos,expr_off_oos,delta_oos,same_sign_oos,role,bh_p,abs_delta_is,priority_rank
NYSE_OPEN,1.5,short,F2_NEAR_PDL_15,118,701,0.07591610169491525,0.11019800285306704,-0.03428190115815179,0.4491525423728814,0.4607703281027104,-0.28746239510966226,0.7741320932008192,3,37,-0.1802,-0.004583783783783783,-0.1756162162162162,True,AVOID,0.9562380653045679,0.03428190115815179,9938
NYSE_OPEN,1.5,short,F4_ABOVE_PDH,177,642,0.08312881355932203,0.11135996884735204,-0.02823115528803001,0.4519774011299435,0.46105919003115264,-0.27757707967661316,0.7815407264508487,8,32,-0.07835,-0.0026062500000000044,-0.07574375,True,AVOID,0.9562380653045679,0.02823115528803001,9932
US_DATA_1000,1.0,long,F2_NEAR_PDL_15__AND__F6_INSIDE_PDR,68,813,0.06232499999999999,0.039064821648216466,0.023260178351783525,0.5588235294117647,0.5485854858548586,0.19362703761209665,0.8469684239918016,2,33,0.9697,-0.11516969696969695,1.084869696969697,True,TAKE,0.9586252581564976,0.023260178351783525,9927
NYSE_OPEN,1.5,long,F1_NEAR_PDH_15,188,642,0.06753031914893619,0.08852959501557632,-0.020999275866640132,0.44680851063829785,0.4517133956386293,-0.21207696544931134,0.8321878339532874,2,26,0.21585,0.232,-0.016150000000000025,True,AVOID,0.9586252581564976,0.020999275866640132,9925
CME_PRECLOSE,1.0,long,F1_NEAR_PDH_15__AND__F6_INSIDE_PDR,74,669,0.14577027027027026,0.1336476831091181,0.012122587161152165,0.6351351351351351,0.6188340807174888,0.11249893149333867,0.9106767908122018,5,26,0.11665999999999999,0.018142307692307662,0.09851769230769232,True,TAKE,0.9763957344790617,0.012122587161152165,9914
CME_PRECLOSE,1.0,short,F2_NEAR_PDL_15__AND__F3_NEAR_PIVOT_50,56,653,0.055107142857142834,0.061730934150076563,-0.00662379129293373,0.5714285714285714,0.5773353751914242,-0.051545825157514706,0.959049794685352,2,33,-1.0,-0.09524545454545456,-0.9047545454545455,True,AVOID,0.9974117864727661,0.00662379129293373,9907
CME_PRECLOSE,1.0,long,F3_NEAR_PIVOT_15,122,621,0.13505491803278688,0.1348157809983897,0.00023913703439717993,0.6229508196721312,0.6199677938808373,0.0027132720934663615,0.9978382628781278,7,24,0.3459285714285714,-0.05693750000000001,0.40286607142857145,True,TAKE,0.9978382628781278,0.00023913703439717993,9900
NYSE_OPEN,1.5,short,F5_BELOW_PDL,117,702,0.46879572649572643,0.044669230769230774,0.42412649572649563,0.6068376068376068,0.43447293447293445,3.587576178043651,0.00044467327585231883,8,32,-0.07547500000000001,-0.003324999999999967,-0.07215000000000005,False,TAKE,0.01156150517216029,0.42412649572649563,423
NYSE_OPEN,1.5,short,F2_NEAR_PDL_15__AND__F3_NEAR_PIVOT_15,35,784,-0.20468857142857144,0.11909566326530613,-0.32378423469387757,0.34285714285714286,0.4642857142857143,-1.6679188381939702,0.10364345981968588,0,40,,-0.017755000000000028,,,AVOID,0.5823598556782211,0.32378423469387757,266
NYSE_OPEN,1.5,long,F1_NEAR_PDH_15__AND__F3_NEAR_PIVOT_15,30,800,-0.2065833333333333,0.0946615,-0.3012448333333333,0.3333333333333333,0.455,-1.4157410523312595,0.1666798653289019,0,28,,0.2308464285714286,,,AVOID,0.604470454350924,0.3012448333333333,241
NYSE_OPEN,1.5,short,F6_INSIDE_PDR,523,296,0.030922370936902484,0.23660304054054057,-0.2056806696036381,0.42829827915869984,0.5135135135135135,-2.35617967491767,0.01878049487399068,24,16,0.021683333333333343,-0.0769125,0.09859583333333334,False,AVOID,0.21408733993573303,0.2056806696036381,185
CME_PRECLOSE,1.0,short,F3_NEAR_PIVOT_50__AND__F5_BELOW_PDL,30,679,0.27704999999999996,0.05167128129602355,0.2253787187039764,0.7,0.5714285714285714,1.4087432236281459,0.16855426130939224,0,35,,-0.14694571428571432,,,TAKE,0.604470454350924,0.2253787187039764,165
NYSE_OPEN,1.5,short,F3_NEAR_PIVOT_50__AND__F6_INSIDE_PDR,495,324,0.03532121212121211,0.21210771604938275,-0.17678650392817064,0.4303030303030303,0.5030864197530864,-2.060711641952476,0.03970710161765402,19,21,0.0302684210526316,-0.06120476190476191,0.09147318295739351,False,AVOID,0.31765681294123216,0.17678650392817064,145
