trading_day,pnl_r,pnl_r0,outcome,is_scratch,is_is,is_oos,year,feature_fire,orb_mid,pivot_val,break_dir
2022-10-18,-1.0,-1.0,loss,0,True,False,2022,0,11373.125,11048.583333333334,long
2022-10-19,0.932,0.932,win,0,True,False,2022,1,11125.375,11281.416666666666,long
2022-10-21,0.8607,0.8607,win,0,True,False,2022,1,10946.625,11118.166666666666,long
2022-10-28,0.9808,0.9808,win,0,True,False,2022,1,11145.375,11205.416666666666,long
2022-11-02,-1.0,-1.0,loss,0,True,False,2022,1,11331.25,11416.333333333334,long
2022-11-04,,0.0,scratch,1,True,False,2022,1,10737.0,10800.166666666666,long
2022-11-07,-1.0,-1.0,loss,0,True,False,2022,1,10914.875,10828.333333333334,long
2022-11-08,0.787,0.787,win,0,True,False,2022,1,11063.5,10942.916666666666,long
2022-11-09,0.8396,0.8396,win,0,True,False,2022,1,11028.25,11082.916666666666,long
2022-11-10,0.9932,0.9932,win,0,True,False,2022,1,11023.25,10943.25,long
2022-11-11,-1.0,-1.0,loss,0,True,False,2022,0,11692.625,11387.333333333334,long
2022-11-16,-1.0,-1.0,loss,0,True,False,2022,1,11869.875,11924.5,long
2022-11-22,-1.0,-1.0,loss,0,True,False,2022,1,11617.125,11632.75,long
2022-11-28,-1.0,-1.0,loss,0,True,False,2022,1,11702.125,11824.666666666666,long
2022-12-01,-1.0,-1.0,loss,0,True,False,2022,0,12079.75,11883.416666666666,long
2022-12-02,,0.0,scratch,1,True,False,2022,0,11888.0,12041.75,long
2022-12-07,0.8974,0.8974,win,0,True,False,2022,0,11484.625,11638.25,long
2022-12-08,-1.0,-1.0,loss,0,True,False,2022,1,11572.0,11505.916666666666,long
2022-12-12,0.779,0.779,win,0,True,False,2022,1,11709.5,11605.833333333334,long
2022-12-14,-1.0,-1.0,loss,0,True,False,2022,1,11939.375,12025.166666666666,long
2022-12-20,-1.0,-1.0,loss,0,True,False,2022,1,11134.875,11242.583333333334,long
2022-12-21,-1.0,-1.0,loss,0,True,False,2022,1,11234.625,11160.833333333334,long
2022-12-23,-1.0,-1.0,loss,0,True,False,2022,1,11032.5,11099.5,long
2022-12-29,0.8992,0.8992,win,0,True,False,2022,1,10856.375,10846.333333333334,long
2022-12-30,0.7703,0.7703,win,0,True,False,2022,1,10909.5,10959.5,long
2023-01-03,0.8015,0.8015,win,0,True,False,2023,1,11093.0,10982.666666666666,long
2023-01-06,0.9846,0.9846,win,0,True,False,2023,1,10852.375,10895.916666666666,long
2023-01-10,0.8015,0.8015,win,0,True,False,2023,1,11102.75,11230.166666666666,long
2023-01-12,,0.0,scratch,1,True,False,2023,1,11387.75,11398.083333333334,long
2023-01-13,-1.0,-1.0,loss,0,True,False,2023,1,11402.0,11463.5,long
2023-01-16,0.8499,0.8499,win,0,True,False,2023,1,11581.875,11536.666666666666,long
2023-01-18,-1.0,-1.0,loss,0,True,False,2023,1,11678.5,11612.75,long
2023-01-19,0.93,0.93,win,0,True,False,2023,0,11364.75,11569.75,long
2023-01-26,0.9413,0.9413,win,0,True,False,2023,0,11954.25,11818.583333333334,long
2023-01-27,0.9523,0.9523,win,0,True,False,2023,1,12050.25,12013.416666666666,long
2023-01-31,0.9487,0.9487,win,0,True,False,2023,1,11960.375,12067.0,long
2023-02-02,0.9,0.9,win,0,True,False,2023,0,12625.75,12362.25,long
2023-02-09,-1.0,-1.0,loss,0,True,False,2023,1,12692.375,12626.583333333334,long
2023-02-10,-1.0,-1.0,loss,0,True,False,2023,0,12329.375,12515.25,long
2023-02-15,-1.0,-1.0,loss,0,True,False,2023,1,12561.0,12564.833333333334,long
2023-02-17,0.8714,0.8714,win,0,True,False,2023,0,12379.0,12571.25,long
2023-02-22,-1.0,-1.0,loss,0,True,False,2023,1,12128.125,12194.25,long
2023-02-23,-1.0,-1.0,loss,0,True,False,2023,1,12212.375,12129.916666666666,long
2023-02-27,0.9,0.9,win,0,True,False,2023,1,12081.5,12045.333333333334,long
2023-03-03,0.817,0.817,win,0,True,False,2023,1,12096.625,11993.166666666666,long
2023-03-06,0.683,0.683,win,0,True,False,2023,0,12357.0,12222.833333333334,long
2023-03-08,-1.0,-1.0,loss,0,True,False,2023,1,12183.5,12233.0,long
2023-03-09,0.958,0.958,win,0,True,False,2023,1,12199.125,12200.25,long
2023-03-14,,0.0,scratch,1,True,False,2023,1,12114.0,12040.583333333334,long
2023-03-20,0.8199,0.8199,win,0,True,False,2023,1,12645.5,12705.0,long
2023-03-21,-1.0,-1.0,loss,0,True,False,2023,1,12765.0,12649.833333333334,long
2023-03-22,0.6993,0.6993,win,0,True,False,2023,1,12841.75,12813.583333333334,long
2023-03-23,-1.0,-1.0,loss,0,True,False,2023,1,12817.25,12826.833333333334,long
2023-03-24,0.8623,0.8623,win,0,True,False,2023,1,12782.25,12861.166666666666,long
2023-03-30,0.9215,0.9215,win,0,True,False,2023,0,13038.5,12896.833333333334,long
2023-03-31,0.9601,0.9601,win,0,True,False,2023,1,13092.25,13041.5,long
2023-04-03,0.8303,0.8303,win,0,True,False,2023,1,13187.0,13256.75,long
2023-04-10,-1.0,-1.0,loss,0,True,False,2023,0,13059.5,13183.583333333334,long
2023-04-11,-1.0,-1.0,loss,0,True,False,2023,1,13144.75,13105.333333333334,long
2023-04-13,0.9618,0.9618,win,0,True,False,2023,1,13002.375,13036.25,long
2023-04-17,-1.0,-1.0,loss,0,True,False,2023,1,13172.375,13198.5,long
2023-04-20,0.8974,0.8974,win,0,True,False,2023,1,13062.875,13146.166666666666,long
2023-04-26,-1.0,-1.0,loss,0,True,False,2023,1,12928.375,12942.25,long
2023-04-28,0.9407,0.9407,win,0,True,False,2023,1,13192.5,13157.333333333334,long
2023-05-01,0.714,0.714,win,0,True,False,2023,1,13291.25,13313.333333333334,long
2023-05-02,0.7831,0.7831,win,0,True,False,2023,1,13288.875,13305.083333333334,long
2023-05-04,-1.0,-1.0,loss,0,True,False,2023,1,13080.125,13146.416666666666,long
2023-05-05,0.9473,0.9473,win,0,True,False,2023,1,13113.875,13086.5,long
2023-05-10,0.9631,0.9631,win,0,True,False,2023,1,13300.0,13289.333333333334,long
2023-05-12,0.7945,0.7945,win,0,True,False,2023,1,13460.25,13432.25,long
2023-05-17,0.7274,0.7274,win,0,True,False,2023,1,13499.0,13492.083333333334,long
2023-05-22,-1.0,-1.0,loss,0,True,False,2023,1,13861.375,13824.583333333334,long
2023-05-25,0.8742,0.8742,win,0,True,False,2023,0,13934.25,13760.416666666666,long
2023-05-30,-1.0,-1.0,loss,0,True,False,2023,0,14530.5,14403.75,long
2023-05-31,-1.0,-1.0,loss,0,True,False,2023,0,14327.75,14436.833333333334,long
2023-06-05,0.6993,0.6993,win,0,True,False,2023,1,14553.0,14569.25,long
2023-06-08,0.9534,0.9534,win,0,True,False,2023,1,14337.0,14431.333333333334,long
2023-06-09,0.8573,0.8573,win,0,True,False,2023,0,14536.875,14431.416666666666,long
2023-06-12,0.7747,0.7747,win,0,True,False,2023,0,14797.875,14586.666666666666,long
2023-06-13,-1.0,-1.0,loss,0,True,False,2023,0,15040.625,14933.833333333334,long
2023-06-19,-1.0,-1.0,loss,0,True,False,2023,1,15250.25,15312.333333333334,long
2023-06-27,-1.0,-1.0,loss,0,True,False,2023,1,14909.75,14961.666666666666,long
2023-06-30,0.9536,0.9536,win,0,True,False,2023,1,15212.875,15112.666666666666,long
2023-07-04,0.6086,0.6086,win,0,True,False,2023,1,15354.875,15346.916666666666,long
2023-07-12,,0.0,scratch,1,True,False,2023,0,15362.75,15220.666666666666,long
2023-07-17,0.87,0.87,win,0,True,False,2023,1,15696.875,15681.166666666666,long
2023-07-19,0.6648,0.6648,win,0,True,False,2023,0,16000.75,15907.583333333334,long
2023-07-21,0.7068,0.7068,win,0,True,False,2023,1,15689.625,15677.75,long
2023-07-25,-1.0,-1.0,loss,0,True,False,2023,1,15606.0,15555.333333333334,long
2023-07-28,-1.0,-1.0,loss,0,True,False,2023,1,15735.375,15669.0,long
2023-07-31,0.7945,0.7945,win,0,True,False,2023,1,15874.5,15886.25,long
2023-08-01,0.8573,0.8573,win,0,True,False,2023,1,15764.875,15852.25,long
2023-08-03,-1.0,-1.0,loss,0,True,False,2023,0,15384.375,15564.416666666666,long
2023-08-07,0.8555,0.8555,win,0,True,False,2023,1,15406.75,15386.833333333334,long
2023-08-08,0.7559,0.7559,win,0,True,False,2023,1,15362.375,15439.25,long
2023-08-09,-1.0,-1.0,loss,0,True,False,2023,1,15383.375,15352.416666666666,long
2023-08-10,-1.0,-1.0,loss,0,True,False,2023,1,15304.125,15264.75,long
2023-08-15,0.9394,0.9394,win,0,True,False,2023,1,15175.75,15216.583333333334,long
2023-08-17,-1.0,-1.0,loss,0,True,False,2023,1,14991.75,15009.0,long
2023-08-23,0.8396,0.8396,win,0,True,False,2023,1,14973.75,15006.833333333334,long
2023-08-24,-1.0,-1.0,loss,0,True,False,2023,0,15336.125,15210.583333333334,long
2023-08-25,-1.0,-1.0,loss,0,True,False,2023,0,14903.625,15034.833333333334,long
2023-08-28,0.8015,0.8015,win,0,True,False,2023,1,15062.25,15007.0,long
2023-08-29,0.8226,0.8226,win,0,True,False,2023,1,15057.375,15068.416666666666,long
2023-09-01,-1.0,-1.0,loss,0,True,False,2023,1,15594.875,15531.916666666666,long
2023-09-08,0.8278,0.8278,win,0,True,False,2023,1,15270.375,15279.5,long
2023-09-12,-1.0,-1.0,loss,0,True,False,2023,1,15627.0,15614.833333333334,long
2023-09-13,,0.0,scratch,1,True,False,2023,1,15465.125,15556.833333333334,long
2023-09-18,0.6993,0.6993,win,0,True,False,2023,1,15358.0,15397.25,long
2023-09-21,0.9251,0.9251,win,0,True,False,2023,0,14961.625,15224.916666666666,long
2023-09-25,0.8015,0.8015,win,0,True,False,2023,1,14823.25,14898.0,long
2023-09-27,-1.0,-1.0,loss,0,True,False,2023,1,14751.875,14776.583333333334,long
2023-09-29,-1.0,-1.0,loss,0,True,False,2023,0,14977.875,14829.916666666666,long
2023-10-02,-1.0,-1.0,loss,0,True,False,2023,1,14862.625,14961.583333333334,long
2023-10-04,-1.0,-1.0,loss,0,True,False,2023,1,14767.25,14800.166666666666,long
2023-10-11,0.9401,0.9401,win,0,True,False,2023,1,15308.0,15280.5,long
2023-10-13,0.8351,0.8351,win,0,True,False,2023,1,15286.0,15336.75,long
2023-10-16,0.8253,0.8253,win,0,True,False,2023,1,15138.75,15142.833333333334,long
2023-10-19,-1.0,-1.0,loss,0,True,False,2023,1,15047.75,15081.416666666666,long
2023-10-20,0.8519,0.8519,win,0,True,False,2023,1,14819.5,14933.0,long
2023-10-23,-1.0,-1.0,loss,0,True,False,2023,1,14607.25,14690.083333333334,long
2023-10-26,-1.0,-1.0,loss,0,True,False,2023,0,14361.375,14515.666666666666,long
2023-10-27,0.9372,0.9372,win,0,True,False,2023,1,14299.375,14295.0,long
2023-11-01,0.9527,0.9527,win,0,True,False,2023,1,14470.5,14426.5,long
2023-11-02,-1.0,-1.0,loss,0,True,False,2023,0,14920.75,14650.916666666666,long
