trading_day,split,context_state,context_pass,touched_long_stop,entry_ts,pnl_r,outcome
2021-07-12,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-07-13 00:13:00+10:00,0.8907,win
2021-07-13,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-07-14 00:16:00+10:00,0.8946,win
2021-07-19,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-07-20 00:06:00+10:00,-1.0,loss
2021-07-22,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-07-23 00:26:00+10:00,0.8755,win
2021-07-26,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-07-27 00:10:00+10:00,-1.0,loss
2021-07-27,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-08-02,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-08-03 00:11:00+10:00,0.8974,win
2021-08-03,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-08-04 00:24:00+10:00,-1.0,loss
2021-08-12,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-08-13 00:12:00+10:00,0.9215,win
2021-08-16,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-08-17 03:27:00+10:00,0.8573,win
2021-08-19,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-08-20 00:11:00+10:00,0.9466,win
2021-08-20,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-08-21 00:05:00+10:00,0.8965,win
2021-08-23,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-08-24 00:05:00+10:00,0.926,win
2021-08-26,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-08-27 00:05:00+10:00,-1.0,loss
2021-08-30,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-08-31 00:06:00+10:00,0.9107,win
2021-09-07,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-09-08 00:32:00+10:00,0.859,win
2021-09-13,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-09-14 06:30:00+10:00,-0.0506,scratch
2021-09-15,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-09-16 02:25:00+10:00,0.9199,win
2021-09-20,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-09-23,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-09-24 00:06:00+10:00,-1.0,loss
2021-09-27,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-09-28 00:06:00+10:00,0.8818,win
2021-09-28,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-10-01,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-10-02 01:13:00+10:00,-1.0,loss
2021-10-04,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-10-07,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-10-08 00:10:00+10:00,-1.0,loss
2021-10-12,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-10-13 00:15:00+10:00,-1.0,loss
2021-10-14,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-10-15 00:05:00+10:00,0.9291,win
2021-10-18,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-10-19 00:05:00+10:00,0.8048,win
2021-10-19,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-10-20 00:05:00+10:00,0.8853,win
2021-10-26,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-10-27 00:07:00+10:00,0.9072,win
2021-11-01,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-11-02 00:11:00+10:00,0.9308,win
2021-11-02,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-11-03 00:54:00+10:00,-1.0,loss
2021-11-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-11-05 00:12:00+10:00,0.8886,win
2021-11-05,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-11-06 00:15:00+10:00,-1.0,loss
2021-11-09,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-11-10 01:15:00+10:00,-1.0,loss
2021-11-10,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-11-11 01:05:00+10:00,0.91,win
2021-11-19,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-11-20 02:37:00+10:00,-1.0,loss
2021-11-22,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-11-23 01:15:00+10:00,-1.0,loss
2021-11-23,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-11-25,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-11-26 01:27:00+10:00,-1.0,loss
2021-11-26,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-12-07,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-12-08 01:09:00+10:00,0.867,win
2021-12-14,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-12-15 01:25:00+10:00,-1.0,loss
2021-12-17,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-12-18 01:35:00+10:00,0.9529,win
2021-12-20,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-12-21 06:21:00+10:00,-1.0,loss
2021-12-29,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-12-30 06:47:00+10:00,-1.0,loss
2021-12-31,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-01-01 01:08:00+10:00,-1.0,loss
2022-01-03,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-01-04 01:10:00+10:00,0.9587,win
2022-01-06,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-01-07 01:25:00+10:00,0.9743,win
2022-01-10,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-01-11 02:17:00+10:00,0.9435,win
2022-01-12,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-01-13 01:08:00+10:00,-1.0,loss
2022-01-18,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-01-19 01:05:00+10:00,0.93,win
