rank,strategy_id,state,primary_blocker,next_action,instrument,session,orb_minutes,entry_model,rr_target,filter_type,confirm_bars,trailing_expr,trailing_n,annual_r_estimate,status,status_reason,chordia_verdict,chordia_audit_age_days,c8_oos_status,family,family_role,family_priority,active_in_profile
479,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_OVNRNG_10_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.5,OVNRNG_10,1,0.0615,219,12.4,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0615, N=219",MISSING,,,UNSPECIFIED,unknown,5,False
480,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_OVNRNG_25_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.5,OVNRNG_25,1,0.0615,219,12.4,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0615, N=219",MISSING,,,UNSPECIFIED,unknown,5,False
481,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,5,E2,1.5,COST_LT15,1,0.0537,250,12.4,DEPLOY,"Session HOT (+0.0456), ExpR=+0.0537, N=250",MISSING,,,UNSPECIFIED,unknown,5,False
482,MNQ_NYSE_OPEN_E2_RR1.5_CB1_X_MGC_ATR70_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,15,E2,1.5,X_MGC_ATR70,1,0.0872,129,12.3,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0872, N=129",MISSING,,,UNSPECIFIED,unknown,5,False
483,MNQ_SINGAPORE_OPEN_E2_RR1.0_CB1_ORB_G8_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,SINGAPORE_OPEN,15,E2,1.0,ORB_G8,1,0.0525,253,12.3,DEPLOY,"Session HOT (+0.2253), ExpR=+0.0525, N=253",MISSING,,,UNSPECIFIED,unknown,5,False
484,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_VOL_16K,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,ORB_VOL_16K,1,0.34,39,12.2,DEPLOY,"Session HOT (+0.0837), ExpR=+0.3400, N=39",MISSING,,,UNSPECIFIED,unknown,5,False
485,MNQ_US_DATA_1000_E2_RR2.0_CB1_VWAP_MID_ALIGNED,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,2.0,VWAP_MID_ALIGNED,1,0.1105,120,12.2,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1105, N=120",MISSING,,,UNSPECIFIED,unknown,5,False
486,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_OVNRNG_50_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.5,OVNRNG_50,1,0.0628,211,12.2,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0628, N=211",MISSING,,,UNSPECIFIED,unknown,5,False
487,MNQ_COMEX_SETTLE_E2_RR2.5_CB1_COST_LT12_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,2.5,COST_LT12,1,0.0596,221,12.2,DEPLOY,"Session HOT (+0.0837), ExpR=+0.0596, N=221",MISSING,,,UNSPECIFIED,unknown,5,False
488,MNQ_TOKYO_OPEN_E2_RR1.0_CB1_COST_LT08_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,5,E2,1.0,COST_LT08,1,0.0854,154,12.1,DEPLOY,"Session HOT (+0.0456), ExpR=+0.0854, N=154",MISSING,,,UNSPECIFIED,unknown,5,False
489,MNQ_TOKYO_OPEN_E2_RR1.0_CB1_COST_LT08,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,5,E2,1.0,COST_LT08,1,0.0852,154,12.1,DEPLOY,"Session HOT (+0.0456), ExpR=+0.0852, N=154",MISSING,,,UNSPECIFIED,unknown,5,False
490,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_COST_LT12_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,15,E2,1.0,COST_LT12,1,0.0572,230,12.1,DEPLOY,"Session HOT (+0.0837), ExpR=+0.0572, N=230",MISSING,,,UNSPECIFIED,unknown,5,False
491,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_COST_LT15_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,15,E2,1.0,COST_LT15,1,0.0572,230,12.1,DEPLOY,"Session HOT (+0.0837), ExpR=+0.0572, N=230",MISSING,,,UNSPECIFIED,unknown,5,False
492,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_NO_FILTER_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,15,E2,1.0,NO_FILTER,1,0.0572,230,12.1,DEPLOY,"Session HOT (+0.0837), ExpR=+0.0572, N=230",MISSING,,,UNSPECIFIED,unknown,5,False
