instrument,session,dst_regime,hold_minutes,n,avg_r,win_rate,sharpe,pvalue,pvalue_bh,terminal_rate
MGC,2300,SUMMER,180,618,-0.474400,0.228200,-0.677300,0.000000,0.000000,0.525900
MGC,2300,WINTER,1,297,-0.238400,0.269400,-0.699200,0.000000,0.000000,0.016800
MGC,2300,WINTER,2,297,-0.242200,0.266000,-0.694900,0.000000,0.000000,0.033700
MGC,2300,WINTER,5,297,-0.252300,0.252500,-0.664000,0.000000,0.000000,0.057200
MGC,2300,WINTER,10,297,-0.266300,0.259300,-0.645400,0.000000,0.000000,0.090900
MGC,2300,WINTER,15,297,-0.270600,0.276100,-0.626100,0.000000,0.000000,0.124600
MGC,2300,WINTER,20,297,-0.290700,0.252500,-0.654700,0.000000,0.000000,0.141400
MGC,2300,WINTER,30,297,-0.295400,0.272700,-0.616400,0.000000,0.000000,0.168400
MGC,2300,WINTER,45,297,-0.307300,0.245800,-0.605400,0.000000,0.000000,0.205400
MGC,2300,WINTER,60,297,-0.309800,0.252500,-0.573400,0.000000,0.000000,0.232300
MGC,2300,WINTER,90,297,-0.332200,0.266000,-0.585300,0.000000,0.000000,0.279500
MGC,2300,WINTER,120,297,-0.355900,0.276100,-0.560400,0.000000,0.000000,0.367000
MGC,2300,WINTER,180,297,-0.472000,0.232300,-0.711700,0.000000,0.000000,0.494900
