instrument,session,aperture_min,n_days,n_g4,n_breaks,n_trades,avg_r,total_r,win_rate,avg_orb_size,p_value,p_adj_bh,n_winter,avg_r_winter,wr_winter,n_summer,avg_r_summer,wr_summer,sensitivity_verdict,sample_class,delta_vs_5m
MCL,1800,5,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1800,10,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1800,15,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1800,20,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1800,30,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1800,45,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1800,60,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,2300,5,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,2300,10,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,2300,15,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,2300,20,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,2300,30,1297,1,1,1,0.976581,0.976581,0.000000,4.270000,,,0,,,1,0.976581,0.000000,SKIP,INVALID,
MCL,2300,45,1297,4,4,4,0.004884,0.019536,0.000000,4.922500,0.989511,0.989511,2,-0.230942,0.000000,2,0.240710,0.000000,SKIP,INVALID,
MCL,2300,60,1297,5,4,4,-0.220266,-0.881063,0.000000,5.646000,0.507344,0.558505,1,-1.000000,0.000000,3,0.039646,0.000000,--,INVALID,
MCL,0030,5,1298,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,0030,10,1298,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,0030,15,1298,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,0030,20,1298,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,0030,30,1298,1,1,1,-1.000000,-1.000000,0.000000,4.050000,,,1,-1.000000,0.000000,0,,,--,INVALID,
MCL,0030,45,1298,2,2,2,-0.262231,-0.524462,0.000000,4.645000,0.782587,0.806752,2,-0.262231,0.000000,0,,,--,INVALID,
MCL,0030,60,1298,4,4,4,-0.214733,-0.858930,0.000000,5.042500,0.213685,0.274438,2,-0.098136,0.000000,2,-0.331330,0.000000,--,INVALID,
