label,n,avg_r,wr,total_r,sharpe,median_mfe,mfe_gte_0.5R,mfe_gte_1.0R,mfe_gte_1.5R,mfe_gte_2.0R,mfe_gte_2.5R,mfe_gte_3.0R,instrument,session,lookback,test,threshold
SIZE=small (0.0-1.0pt): expanding=-0.559R(N=166) contracting=-0.456R(N=159) diff=-0.102R p=0.3378,325,-0.10237697961657949,0.3377663088319861,,,-0.053269360460710846,,,,,,,MGC,1000,5,expansion_within_size_band,small
SIZE=medium (1.0-2.0pt): expanding=-0.316R(N=180) contracting=-0.384R(N=149) diff=+0.068R p=0.6094,329,0.06804936241610737,0.6094008916937752,,,-0.049826983594332686,,,,,,,MGC,1000,5,expansion_within_size_band,medium
SIZE=large (2.0-60.3pt): expanding=0.164R(N=177) contracting=-0.116R(N=177) diff=+0.280R p=0.1218,354,0.2798813559322033,0.12179112328901691,,,0.14635819209039536,,,,,,,MGC,1000,5,expansion_within_size_band,large
ALL (N=1006),1006,-0.267674055666004,0.19483101391650098,-269.2801,-0.19778812999417375,0.56925,0.532803180914513,0.3518886679920477,0.27634194831013914,0.2216699801192843,0.15308151093439365,0.09343936381709742,MGC,1000,7,expansion_ratio,ALL
EXPAND>=1.0x (N=523),523,-0.24139560229445509,0.18164435946462715,-126.24990000000001,-0.17376157230699654,0.5682,0.5219885277246654,0.35181644359464626,0.27724665391969405,0.23518164435946462,0.1682600382409178,0.11281070745697896,MGC,1000,7,expansion_ratio,>=1.0
CONTRACT<1.0x (N=483),483,-0.2961287784679089,0.20910973084886128,-143.0302,-0.2255758523702985,0.597,0.5445134575569358,0.35196687370600416,0.2753623188405797,0.2070393374741201,0.13664596273291926,0.07246376811594203,MGC,1000,7,expansion_ratio,<1.0
EXPAND>=1.25x (N=335),335,-0.09169940298507463,0.21194029850746268,-30.7193,-0.0601085573683367,0.6967,0.5791044776119403,0.41194029850746267,0.33432835820895523,0.28955223880597014,0.21492537313432836,0.14626865671641792,MGC,1000,7,expansion_ratio,>=1.25
CONTRACT<1.25x (N=671),671,-0.35553025335320415,0.18628912071535023,-238.5608,-0.28457891330290247,0.5172,0.5096870342771982,0.32190760059612517,0.2473919523099851,0.18777943368107303,0.12220566318926974,0.06706408345752608,MGC,1000,7,expansion_ratio,<1.25
EXPAND>=1.5x (N=228),228,-0.037057017543859656,0.2149122807017544,-8.449000000000002,-0.023515528188500355,0.6980500000000001,0.5964912280701754,0.40789473684210525,0.34210526315789475,0.31140350877192985,0.25,0.16666666666666666,MGC,1000,7,expansion_ratio,>=1.5
CONTRACT<1.5x (N=778),778,-0.3352584832904884,0.18894601542416453,-260.8311,-0.2633751031612079,0.5224,0.5141388174807198,0.33547557840616965,0.2570694087403599,0.1953727506426735,0.12467866323907455,0.07197943444730077,MGC,1000,7,expansion_ratio,<1.5
EXPAND>=2.0x (N=106),106,0.015709433962264138,0.2169811320754717,1.6651999999999987,0.009388213604607752,0.8261499999999999,0.5943396226415094,0.4339622641509434,0.36792452830188677,0.330188679245283,0.2641509433962264,0.20754716981132076,MGC,1000,7,expansion_ratio,>=2.0
CONTRACT<2.0x (N=900),900,-0.30105033333333336,0.1922222222222222,-270.94530000000003,-0.2304288106401525,0.55675,0.5255555555555556,0.3422222222222222,0.26555555555555554,0.2088888888888889,0.14,0.08,MGC,1000,7,expansion_ratio,<2.0
EXPAND>=3.0x (N=28),28,0.18885,0.25,5.2878,0.11041729467216958,0.9191499999999999,0.5714285714285714,0.4642857142857143,0.4642857142857143,0.42857142857142855,0.32142857142857145,0.2857142857142857,MGC,1000,7,expansion_ratio,>=3.0
