symbol,session,rr_target,confirm_bars,t80_minutes,n_before,n_after,avg_r_before,avg_r_after,wr_before,wr_after,t_stat,p_val,p_bh,verdict
MES,CME_CLOSE,1.0,1,16.0,2075,496,0.0276,-0.1153,0.612,0.5,-2.8888,0.004037,0.008009,SURVIVES — time-stop recommended
MES,CME_CLOSE,1.0,2,42.0,840,160,0.0291,0.0073,0.606,0.5625,0.1026,0.918391,0.925878,NO-BENEFIT (avg_r_after >= 0)
MES,CME_CLOSE,1.0,3,47.0,626,122,0.0232,0.0117,0.5927,0.5656,0.1448,0.8851,0.898419,NO-BENEFIT (avg_r_after >= 0)
MES,CME_CLOSE,1.0,4,48.0,477,99,-0.0013,-0.0563,0.5765,0.5253,-0.618,0.537979,0.594904,DIRECTIONAL (not significant)
MES,CME_CLOSE,1.0,5,57.0,356,80,0.0012,-0.0421,0.573,0.525,-0.4089,0.683727,0.72787,DIRECTIONAL (not significant)
MES,CME_CLOSE,1.5,1,42.0,1937,314,-0.0623,0.1295,0.4502,0.5191,2.0935,0.037105,0.057002,NO-BENEFIT (avg_r_after >= 0)
MES,CME_CLOSE,1.5,2,51.0,655,117,-0.1125,0.0131,0.426,0.453,0.1265,0.89956,0.908127,NO-BENEFIT (avg_r_after >= 0)
MES,CME_CLOSE,1.5,3,58.0,471,96,-0.1249,-0.0768,0.4119,0.4167,-0.6827,0.496478,0.556475,DIRECTIONAL (not significant)
MES,CME_CLOSE,1.5,4,75.0,365,64,-0.2012,-0.1725,0.3753,0.375,-1.2778,0.206004,0.261291,DIRECTIONAL (not significant)
MES,CME_CLOSE,2.0,1,46.0,1680,257,-0.1708,0.1244,0.3369,0.4358,1.5456,0.123431,0.16652,NO-BENEFIT (avg_r_after >= 0)
MES,CME_CLOSE,2.5,1,61.0,1537,193,-0.3298,0.1538,0.2355,0.3731,1.4198,0.157288,0.206562,NO-BENEFIT (avg_r_after >= 0)
MES,CME_CLOSE,3.0,1,128.0,1479,136,-0.4452,0.3337,0.1717,0.3824,2.2713,0.024709,0.039259,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,1.0,1,71.0,2284,489,-0.1371,-0.0625,0.5328,0.5337,-1.5665,0.117868,0.160473,DIRECTIONAL (not significant)
MES,CME_OPEN,1.0,2,103.0,997,217,-0.091,-0.1165,0.5527,0.4977,-1.9201,0.056165,0.083684,SURVIVES — time-stop recommended
MES,CME_OPEN,1.0,3,107.0,790,183,-0.1109,-0.1462,0.5354,0.4809,-2.2135,0.028103,0.044085,SURVIVES — time-stop recommended
MES,CME_OPEN,1.0,4,149.0,676,156,-0.1229,-0.0722,0.5207,0.5192,-1.0029,0.317479,0.383664,DIRECTIONAL (not significant)
MES,CME_OPEN,1.0,5,171.0,631,137,-0.115,-0.0669,0.5198,0.5182,-0.865,0.388574,0.453336,DIRECTIONAL (not significant)
