leader,follower,n_base,n_on,on_rate,avg_r_base,avg_r_on,avg_r_off,uplift_on_vs_off,wr_on,wr_off
MES_0900,MES_US_DATA_OPEN,1654,799,0.4830713422007255,-0.1843030834340992,-0.19742127659574468,-0.17204409356725148,-0.025377183028493205,0.2715894868585732,0.2795321637426901
M2K_CME_OPEN,M6E_1800,1252,171,0.1365814696485623,-0.3474729233226836,-0.3696818713450293,-0.34395975948196117,-0.02572211186306811,0.25146198830409355,0.2645698427382054
M6E_1100,M2K_LONDON_OPEN,1277,639,0.5003915426781519,-0.19923210649960846,-0.21251658841940532,-0.185926802507837,-0.026589785911568325,0.27543035993740217,0.28683385579937304
M6E_US_EQUITY_OPEN,M6E_US_POST_EQUITY,996,504,0.5060240963855421,-0.35162881526104417,-0.36491190476190477,-0.3380217479674797,-0.02689015679442508,0.24801587301587302,0.2540650406504065
MES_0900,M6E_LONDON_OPEN,1247,563,0.45148356054530875,-0.2762086607858861,-0.2911095914742451,-0.2639437134502925,-0.027165878023952594,0.2824156305506217,0.2909356725146199
M6E_0030,M6E_US_EQUITY_OPEN,1125,397,0.35288888888888886,-0.3311212444444444,-0.3487554156171284,-0.32150480769230766,-0.027250607924820758,0.25692695214105793,0.26785714285714285
M2K_1100,M6E_1100,1285,591,0.4599221789883268,-0.41177813229571986,-0.4272976311336718,-0.3985619596541786,-0.028735671479493186,0.27918781725888325,0.29394812680115273
MES_CME_OPEN,M6E_0030,1090,160,0.14678899082568808,-0.37802733944954126,-0.4030793750000001,-0.37371731182795703,-0.02936206317204304,0.23125,0.25268817204301075
M6E_1100,M2K_US_POST_EQUITY,990,521,0.5262626262626262,-0.15672333333333335,-0.1706957773512476,-0.1412017057569296,-0.029494071594317994,0.2629558541266795,0.27078891257995735
M2K_0900,MES_0900,1214,876,0.7215815485996705,-0.31006490939044484,-0.31833253424657537,-0.288637573964497,-0.029694960282078353,0.24771689497716895,0.2603550295857988
MES_US_DATA_OPEN,M6E_0030,1090,534,0.48990825688073397,-0.3780273394495413,-0.39343764044943824,-0.3632267985611511,-0.030210841888287154,0.24344569288389514,0.25539568345323743
MES_CME_OPEN,MES_LONDON_OPEN,1780,279,0.15674157303370786,-0.18688044943820228,-0.21274838709677424,-0.18207221852098604,-0.0306761685757882,0.2616487455197133,0.2731512325116589
MES_US_POST_EQUITY,MES_CME_CLOSE,579,279,0.48186528497409326,-0.5753911917098445,-0.5912974910394264,-0.5605983333333333,-0.030699157706093105,0.13620071684587814,0.14666666666666667
M2K_1000,MES_LONDON_OPEN,1267,625,0.49329123914759276,-0.15829960536700868,-0.17397519999999997,-0.14303909657320873,-0.030936103426791234,0.272,0.2866043613707165
M6E_1000,M2K_0030,1031,514,0.498545101842871,-0.24952550921435496,-0.26527081712062256,-0.23387156673114112,-0.03139925038948144,0.23540856031128404,0.2437137330754352
MES_0900,M6E_0030,1090,477,0.43761467889908257,-0.37802733944954126,-0.39599329140461215,-0.3640473083197391,-0.031945983084873064,0.2431865828092243,0.2544861337683524
MES_1000,M6E_1000,981,380,0.3873598369011213,-0.3836580020387359,-0.4033431578947369,-0.3712114808652247,-0.032131677029512196,0.2394736842105263,0.24958402662229617
M2K_0900,M6E_US_DATA_OPEN,1024,489,0.4775390625,-0.39325761718749996,-0.4109118609406953,-0.377121308411215,-0.03379055252948032,0.23721881390593047,0.24485981308411214
MES_US_EQUITY_OPEN,MES_CME_CLOSE,579,290,0.5008635578583766,-0.5753911917098445,-0.5922941379310345,-0.5584297577854672,-0.03386438014556725,0.13448275862068965,0.14878892733564014
M6E_LONDON_OPEN,MES_US_POST_EQUITY,1080,565,0.5231481481481481,-0.1318489814814815,-0.14854300884955754,-0.11353417475728156,-0.03500883409227598,0.2672566371681416,0.2757281553398058
