symbol,session,rr_target,confirm_bars,n_winners,sample_class,session_max_min,t50,t80,t90,t95,t_max_obs,dead_exposure_min
MES,US_EQUITY_OPEN,2.0,1,1140,CORE,300,54.0,157.0,262.0,331.0,526.0,143.0
MES,US_EQUITY_OPEN,2.0,2,542,CORE,300,82.0,217.0,294.0,351.0,531.0,83.0
MES,US_EQUITY_OPEN,2.0,3,495,CORE,300,94.0,259.0,336.0,361.0,516.0,41.0
MES,US_EQUITY_OPEN,2.0,4,473,CORE,300,96.0,261.0,331.0,362.0,507.0,39.0
MES,US_EQUITY_OPEN,2.0,5,437,CORE,300,113.0,277.0,342.0,368.0,506.0,23.0
MES,US_EQUITY_OPEN,2.5,1,913,CORE,300,78.0,211.0,308.0,351.0,537.0,89.0
MES,US_EQUITY_OPEN,2.5,2,403,CORE,300,114.0,282.0,344.0,374.0,530.0,18.0
MES,US_EQUITY_OPEN,2.5,3,354,CORE,300,118.0,292.0,352.0,376.0,508.0,8.0
MES,US_EQUITY_OPEN,2.5,4,337,CORE,300,118.0,272.0,341.0,373.0,473.0,28.0
MES,US_EQUITY_OPEN,2.5,5,316,CORE,300,138.0,285.0,350.0,374.0,479.0,15.0
MES,US_EQUITY_OPEN,3.0,1,720,CORE,300,103.0,264.0,344.0,374.0,538.0,36.0
MES,US_EQUITY_OPEN,3.0,2,305,CORE,300,139.0,295.0,350.0,373.0,531.0,5.0
MES,US_EQUITY_OPEN,3.0,3,265,CORE,300,141.0,313.0,355.0,383.0,508.0,-13.0
MES,US_EQUITY_OPEN,3.0,4,249,CORE,300,140.0,304.0,354.0,376.0,517.0,-4.0
MES,US_EQUITY_OPEN,3.0,5,228,CORE,300,167.0,314.0,364.0,381.0,532.0,-14.0
MES,US_EQUITY_OPEN,4.0,1,453,CORE,300,136.0,287.0,351.0,378.0,504.0,13.0
MES,US_EQUITY_OPEN,4.0,2,180,PRELIMINARY,300,155.0,327.0,376.0,391.0,521.0,-27.0
MES,US_EQUITY_OPEN,4.0,3,146,PRELIMINARY,300,168.0,318.0,368.0,379.0,552.0,-18.0
MES,US_EQUITY_OPEN,4.0,4,147,PRELIMINARY,300,182.0,301.0,366.0,398.0,538.0,-1.0
MES,US_EQUITY_OPEN,4.0,5,117,PRELIMINARY,300,185.0,327.0,370.0,405.0,530.0,-27.0
MES,US_POST_EQUITY,1.0,1,1189,CORE,180,17.0,43.0,74.0,131.0,350.0,137.0
MES,US_POST_EQUITY,1.0,2,612,CORE,180,24.0,67.0,124.0,201.0,466.0,113.0
MES,US_POST_EQUITY,1.0,3,594,CORE,180,29.0,77.0,132.0,201.0,465.0,103.0
MES,US_POST_EQUITY,1.0,4,601,CORE,180,33.0,88.0,161.0,227.0,464.0,92.0
MES,US_POST_EQUITY,1.0,5,591,CORE,180,35.0,95.0,184.0,240.0,463.0,85.0
MES,US_POST_EQUITY,1.5,1,947,CORE,180,30.0,80.0,143.0,216.0,475.0,100.0
MES,US_POST_EQUITY,1.5,2,463,CORE,180,46.0,129.0,209.0,257.0,466.0,51.0
MES,US_POST_EQUITY,1.5,3,454,CORE,180,49.0,140.0,226.0,279.0,495.0,40.0
MES,US_POST_EQUITY,1.5,4,454,CORE,180,57.0,173.0,256.0,307.0,494.0,7.0
MES,US_POST_EQUITY,1.5,5,442,CORE,180,63.0,177.0,254.0,290.0,463.0,3.0
MES,US_POST_EQUITY,2.0,1,767,CORE,180,45.0,120.0,195.0,259.0,467.0,60.0
MES,US_POST_EQUITY,2.0,2,377,CORE,180,69.0,201.0,261.0,316.0,496.0,-21.0
