symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift,n_test_on,n_test_off
MES,1000,E0,1,2.0,fast_and_q75,1767,354,44.25,0.08954011299435027,-0.04622823779193205,0.13576835078628233,0.4096045197740113,0.42745930644019814,4,5,0.8,0.07601428100470957,0.28242417582417584,84,169
MES,US_EQUITY_OPEN,E0,2,1.0,fast_le_15,742,584,73.0,0.08919965753424658,0.01755822784810128,0.0716414296861453,0.5976027397260274,0.5822784810126582,0,0,,,,0,0
MES,0030,E0,1,1.5,short_fast,1774,729,91.125,0.08918285322359396,-0.015942200956937796,0.10512505418053175,0.4883401920438957,0.4535885167464115,4,6,0.6666666666666666,0.098831938804807,0.13762228322605075,114,139
MES,US_POST_EQUITY,E0,2,3.0,short_only,690,332,41.5,0.08899307228915662,0.06441675977653631,0.02457631251262031,0.3102409638554217,0.3100558659217877,4,7,0.5714285714285714,,,0,0
MES,CME_CLOSE,E0,1,2.0,size_q50_plus,1145,615,76.875,0.08865951219512198,0.024825849056603785,0.0638336631385182,0.4065040650406504,0.44339622641509435,4,6,0.6666666666666666,,,0,0
MES,LONDON_OPEN,E0,2,1.0,size_q50_plus,658,349,43.625,0.08851489971346704,-0.04190970873786407,0.1304246084513311,0.6189111747851003,0.6440129449838188,4,5,0.8,,,0,0
MGC,CME_OPEN,E0,1,1.5,fast_and_q75,1240,223,20.272727272727273,0.08798475336322868,-0.41755358898721734,0.505538342350446,0.5291479820627802,0.3805309734513274,4,4,1.0,,,0,0
MES,0030,E0,2,1.5,long_only,717,357,44.625,0.08761316526610646,0.036429166666666686,0.05118399859943978,0.4957983193277311,0.4722222222222222,3,7,0.42857142857142855,,,0,0
MES,US_POST_EQUITY,E0,1,2.5,short_fast,1694,654,81.75,0.08741269113149848,-0.005254038461538458,0.09266672959303694,0.3486238532110092,0.32884615384615384,5,6,0.8333333333333334,0.06720419159189102,0.30651017450458445,92,147
M2K,US_DATA_OPEN,E0,1,1.0,fast_and_q75,1196,222,37.0,0.08737702702702702,-0.09648429158110883,0.18386131860813584,0.5900900900900901,0.5770020533880903,5,5,1.0,0.13856307927996936,,36,199
