strategy_id,source,instrument,session,filter,combined_n,combined_avgR,combined_sharpe,winter_n,winter_avgR,winter_wr,winter_sharpe,winter_maxdd,summer_n,summer_avgR,summer_wr,summer_sharpe,summer_maxdd,verdict
MNQ_0900_E1_RR2.5_CB4_ORB_G6,validated,MNQ,0900,ORB_G6,122,0.5238,0.3202,44,0.2846,0.3864,0.1737,6.72,78,0.6588,0.5128,0.4043,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR2.0_CB5_ORB_G4,validated,MNQ,0900,ORB_G4,139,0.4911,0.3543,46,0.2419,0.4348,0.1689,4.58,93,0.6144,0.5914,0.454,4.0,SUMMER-DOMINANT
MGC_0900_E1_RR2.0_CB5_ORB_G5,validated,MGC,0900,ORB_G5,38,0.8309,0.6202,21,0.9974,0.7143,0.769,1.0,17,0.6252,0.5882,0.4459,2.0,WINTER-DOMINANT
MNQ_0900_E1_RR4.0_CB2_ORB_G4,validated,MNQ,0900,ORB_G4,148,0.82,0.3648,51,0.5798,0.3333,0.2569,8.39,97,0.9463,0.433,0.4217,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR2.5_CB5_ORB_G6,validated,MNQ,0900,ORB_G6,126,0.6084,0.3704,46,0.3761,0.413,0.2266,6.3,80,0.742,0.5375,0.4557,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR4.0_CB2_NO_FILTER,validated,MNQ,0900,NO_FILTER,154,0.8244,0.3686,51,0.5798,0.3333,0.2569,8.39,103,0.9455,0.4369,0.4245,4.0,SUMMER-DOMINANT
MES_0900_E3_RR2.5_CB1_ORB_G5,experimental,MES,0900,ORB_G5,43,0.4823,0.2997,28,0.3565,0.4286,0.2234,4.8,15,0.717,0.5333,0.4308,4.0,SUMMER-DOMINANT
MNQ_1800_E1_RR2.5_CB5_ORB_G8,experimental,MNQ,1800,ORB_G8,132,1.5217,1.0616,51,1.7429,0.8235,1.3572,2.0,81,1.3824,0.716,0.915,2.0,WINTER-DOMINANT
MNQ_0900_E1_RR2.0_CB5_NO_FILTER,validated,MNQ,0900,NO_FILTER,146,0.487,0.3532,46,0.2419,0.4348,0.1689,4.58,100,0.5997,0.59,0.4458,4.0,SUMMER-DOMINANT
MGC_0900_E1_RR2.0_CB2_ORB_G4,validated,MGC,0900,ORB_G4,50,0.972,0.7807,30,1.115,0.7667,0.9363,1.0,20,0.7576,0.65,0.5722,1.0,WINTER-DOMINANT
MNQ_0900_E1_RR3.0_CB1_ORB_G5,validated,MNQ,0900,ORB_G5,147,0.7915,0.4305,53,0.5651,0.4151,0.3012,6.0,94,0.9192,0.5319,0.5065,4.0,SUMMER-DOMINANT
MGC_0900_E1_RR2.5_CB4_ORB_G4,validated,MGC,0900,ORB_G4,45,0.6458,0.3963,23,0.8181,0.5652,0.501,3.0,22,0.4656,0.4545,0.2832,4.0,WINTER-DOMINANT
MGC_1800_E3_RR2.5_CB1_ORB_G6,experimental,MGC,1800,ORB_G6,21,1.6338,1.2438,13,1.4995,0.7692,1.0494,1.0,8,1.852,0.875,,1.0,LOW-N
MGC_0900_E1_RR4.0_CB2_ORB_G5,validated,MGC,0900,ORB_G5,40,1.0618,0.4595,24,0.9213,0.4167,0.3963,4.0,16,1.2727,0.5,0.542,4.0,SUMMER-DOMINANT
MES_0900_E1_RR1.5_CB3_ORB_G6,experimental,MES,0900,ORB_G6,33,0.5569,0.4976,24,0.4615,0.625,0.3988,2.58,9,0.8111,0.7778,,1.0,LOW-N
MNQ_0900_E1_RR2.5_CB2_ORB_G4,validated,MNQ,0900,ORB_G4,149,0.7269,0.4505,51,0.4992,0.451,0.2987,6.0,98,0.8455,0.5816,0.5357,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR4.0_CB2_ORB_G6,validated,MNQ,0900,ORB_G6,132,0.7877,0.3479,51,0.5798,0.3333,0.2569,8.39,81,0.9186,0.4198,0.4041,5.0,SUMMER-DOMINANT
MNQ_0900_E1_RR4.0_CB3_ORB_G8,validated,MNQ,0900,ORB_G8,105,0.7005,0.3086,44,0.5051,0.3182,0.2265,7.24,61,0.8415,0.3934,0.3648,6.0,SUMMER-DOMINANT
MES_0900_E1_RR1.5_CB3_ORB_G4,validated,MES,0900,ORB_G4,58,0.6124,0.5835,42,0.5197,0.6667,0.4769,2.0,16,0.8555,0.8125,0.9266,2.0,SUMMER-DOMINANT
