symbol,session,rr_target,confirm_bars,checkpoint_min,n_hit,n_total,pct_hit
M2K,BRISBANE_1025,4.0,2,5,1,227,0.4
M2K,BRISBANE_1025,4.0,2,10,5,227,2.2
M2K,BRISBANE_1025,4.0,2,15,13,227,5.7
M2K,BRISBANE_1025,4.0,2,20,20,227,8.8
M2K,BRISBANE_1025,4.0,2,30,38,227,16.7
M2K,BRISBANE_1025,4.0,2,45,59,227,26.0
M2K,BRISBANE_1025,4.0,2,60,75,227,33.0
M2K,BRISBANE_1025,4.0,2,90,100,227,44.1
M2K,BRISBANE_1025,4.0,2,120,123,227,54.2
M2K,BRISBANE_1025,4.0,2,150,138,227,60.8
M2K,BRISBANE_1025,4.0,2,180,149,227,65.6
M2K,BRISBANE_1025,4.0,2,240,160,227,70.5
M2K,BRISBANE_1025,4.0,2,300,174,227,76.7
M2K,BRISBANE_1025,4.0,2,360,185,227,81.5
M2K,BRISBANE_1025,4.0,2,420,206,227,90.7
M2K,BRISBANE_1025,4.0,2,480,214,227,94.3
M2K,BRISBANE_1025,4.0,3,5,2,239,0.8
M2K,BRISBANE_1025,4.0,3,10,3,239,1.3
M2K,BRISBANE_1025,4.0,3,15,14,239,5.9
M2K,BRISBANE_1025,4.0,3,20,19,239,7.9
M2K,BRISBANE_1025,4.0,3,30,30,239,12.6
M2K,BRISBANE_1025,4.0,3,45,59,239,24.7
M2K,BRISBANE_1025,4.0,3,60,71,239,29.7
M2K,BRISBANE_1025,4.0,3,90,98,239,41.0
M2K,BRISBANE_1025,4.0,3,120,118,239,49.4
M2K,BRISBANE_1025,4.0,3,150,131,239,54.8
M2K,BRISBANE_1025,4.0,3,180,141,239,59.0
M2K,BRISBANE_1025,4.0,3,240,155,239,64.9
M2K,BRISBANE_1025,4.0,3,300,171,239,71.5
M2K,BRISBANE_1025,4.0,3,360,190,239,79.5
M2K,BRISBANE_1025,4.0,3,420,207,239,86.6
M2K,BRISBANE_1025,4.0,3,480,219,239,91.6
M2K,BRISBANE_1025,4.0,4,5,1,242,0.4
M2K,BRISBANE_1025,4.0,4,10,6,242,2.5
M2K,BRISBANE_1025,4.0,4,15,11,242,4.5
M2K,BRISBANE_1025,4.0,4,20,17,242,7.0
M2K,BRISBANE_1025,4.0,4,30,31,242,12.8
M2K,BRISBANE_1025,4.0,4,45,51,242,21.1
M2K,BRISBANE_1025,4.0,4,60,63,242,26.0
M2K,BRISBANE_1025,4.0,4,90,89,242,36.8
