trading_day,year,instrument,session,dst_regime,day_of_week,pnl_r,outcome,break_dir,orb_size,entry_price,stop_price,risk_dollars,eb_open,eb_close,c1_break_distance_r,c2_wick_ratio,c3_break_speed_min,c4_entry_bar_engulf,c5_entry_bar_continues,c6_reversal_1bar,c6_reversal_2bar,c6_reversal_3bar,c6_reversal_4bar,c6_reversal_5bar,c6_reversal_6bar,c6_reversal_7bar,c6_reversal_8bar,c6_reversal_10bar,c6_exit_close_1bar,c6_exit_close_2bar,c6_exit_close_3bar,c6_exit_close_4bar,c6_exit_close_5bar,c6_exit_close_6bar,c6_exit_close_7bar,c6_exit_close_8bar,c6_exit_close_10bar
2025-09-25,2025,MGC,1000,clean,3,-0.2219,early_exit,long,4.2000,3778.0000,3772.8000,,3778.0000,3778.8000,0.2619,0.4000,3.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-09-26,2025,MGC,1000,clean,4,-1.0000,loss,short,4.1000,3774.5000,3779.1000,,3774.5000,3775.7000,0.1707,0.1429,3.0000,True,False,True,True,True,True,True,True,True,True,True,3775.0000,3775.0000,3775.0000,3775.0000,3775.0000,3775.0000,3775.0000,3775.0000,3775.0000
2025-09-29,2025,MGC,1000,clean,0,1.7014,win,long,5.7000,3800.5000,3792.9000,,3800.5000,3800.5000,0.3509,0.0625,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-09-30,2025,MGC,1000,clean,1,1.5896,win,long,5.0000,3864.8000,3859.5000,,3864.8000,3865.5000,0.0800,0.2500,7.0000,False,True,False,False,True,True,True,True,True,True,True,,,3864.1000,3864.1000,3864.1000,3864.1000,3864.1000,3864.1000,3864.1000
2025-10-06,2025,MGC,1000,clean,0,-0.4502,early_exit,short,6.3000,3927.1000,3935.9000,,3927.1000,3930.5000,0.3651,0.0000,1.0000,True,False,True,True,True,True,True,True,True,True,True,3930.0000,3930.0000,3930.0000,3930.0000,3930.0000,3930.0000,3930.0000,3930.0000,3930.0000
2025-10-09,2025,MGC,1000,clean,3,1.6866,win,long,6.1000,4034.5000,4027.3000,,4034.5000,4033.8000,0.1803,0.4118,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-10-13,2025,MGC,1000,clean,0,-1.0000,loss,short,5.3000,4046.4000,4054.6000,,4046.4000,4043.9000,0.5283,0.1786,1.0000,False,True,False,False,False,True,True,True,True,True,True,,,,4050.1000,4050.1000,4050.1000,4050.1000,4050.1000,4050.1000
2025-10-14,2025,MGC,1000,clean,1,-1.0000,loss,short,9.8000,4131.8000,4147.4000,,4131.8000,4131.1000,0.5918,0.1406,343.0000,False,True,True,True,True,True,True,True,True,True,True,4138.5000,4138.5000,4138.5000,4138.5000,4138.5000,4138.5000,4138.5000,4138.5000,4138.5000
2025-10-15,2025,MGC,1000,clean,2,-1.0000,loss,long,9.0000,4186.5000,4176.0000,,4186.5000,4187.1000,0.1222,0.2143,1.0000,False,True,False,False,False,True,True,True,True,True,True,,,,4184.9000,4184.9000,4184.9000,4184.9000,4184.9000,4184.9000
2025-10-16,2025,MGC,1000,clean,3,1.6658,win,long,5.6000,4225.1000,4218.4000,,4225.1000,4224.5000,0.1786,0.6364,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
