sess,om,em,rr,filt,N,ExpR,clt,clp,posyrs,nyrs,oosN,oos
SINGAPORE_OPEN,15,E2,1.5,ORB_G4,352,0.011238068181818196,0.18361529097302876,0.8544212901868028,2,4,91,0.3094450549450549
SINGAPORE_OPEN,15,E2,1.5,ORB_G6,231,0.00482380952380952,0.06285811189481602,0.94993408285837,2,4,91,0.3094450549450549
SINGAPORE_OPEN,15,E2,1.5,ORB_G8,170,0.0126494117647059,0.14031219376510798,0.8885804212610323,2,4,89,0.33887078651685393
SINGAPORE_OPEN,15,E2,2.0,NO_FILTER,915,-0.11600491803278688,-2.9078125493770774,0.0037277209489757017,0,4,91,0.42629120879120874
SINGAPORE_OPEN,15,E2,2.0,ORB_G4,352,0.014633238636363637,0.20658171194517952,0.8364563247205283,3,4,91,0.42629120879120874
SINGAPORE_OPEN,15,E2,2.0,ORB_G6,231,-0.0207952380952381,-0.2362882763891028,0.8134192733200255,1,4,91,0.42629120879120874
SINGAPORE_OPEN,15,E2,2.0,ORB_G8,170,-0.027439411764705865,-0.2668243118834465,0.7899297361507542,2,4,89,0.45834269662921345
SINGAPORE_OPEN,30,E1,1.0,NO_FILTER,4439,-0.07531333633701284,-2.6967001843680958,0.007133292507889423,0,4,445,0.07858404494382024
SINGAPORE_OPEN,30,E1,1.0,ORB_G4,2262,0.009161715296198041,0.22109744872204154,0.8251144500315885,1,4,445,0.07858404494382024
SINGAPORE_OPEN,30,E1,1.0,ORB_G6,1449,0.03940358868184955,0.7493832951043276,0.45422135388992724,3,4,445,0.07858404494382024
SINGAPORE_OPEN,30,E1,1.0,ORB_G8,1022,0.04031712328767123,0.6381194936420144,0.5241011937088285,2,4,440,0.07792818181818183
SINGAPORE_OPEN,30,E1,1.5,NO_FILTER,4439,-0.05715712998423068,-1.6448389823904306,0.10035067308604233,1,4,445,0.07047640449438203
