session,rr,cb,em,tier,n,avg_r,win_rate,t_stat,p_val,p_bh,bh_sig
0900,3.0,2,E0,NESTED_30,52,-0.2172,0.269,-1.427,0.1598,0.166,False
0900,3.0,2,E0,SOLO_5,577,-0.395,0.229,-9.98,0.0,0.0,True
0900,3.0,2,E1,NESTED_15,582,-0.4956,0.167,-14.144,0.0,0.0,True
0900,3.0,2,E1,NESTED_30,479,-0.3815,0.19,-8.704,0.0,0.0,True
0900,3.0,2,E1,SOLO_5,1376,-0.4393,0.19,-17.834,0.0,0.0,True
0900,3.0,3,E0,NESTED_15,68,-0.4475,0.206,-4.678,0.0,0.0,True
0900,3.0,3,E0,SOLO_5,341,-0.3882,0.249,-7.364,0.0,0.0,True
0900,3.0,3,E1,NESTED_15,617,-0.4894,0.159,-14.691,0.0,0.0,True
0900,3.0,3,E1,NESTED_30,606,-0.3821,0.188,-9.789,0.0,0.0,True
0900,3.0,3,E1,SOLO_5,1202,-0.4375,0.186,-16.63,0.0,0.0,True
0900,3.0,4,E0,NESTED_15,33,-0.7015,0.061,-6.297,0.0,0.0,True
0900,3.0,4,E0,SOLO_5,233,-0.4743,0.223,-7.879,0.0,0.0,True
0900,3.0,4,E1,NESTED_15,643,-0.5001,0.146,-15.632,0.0,0.0,True
0900,3.0,4,E1,NESTED_30,688,-0.39,0.183,-10.726,0.0,0.0,True
0900,3.0,4,E1,SOLO_5,1068,-0.4497,0.181,-16.564,0.0,0.0,True
0900,3.0,5,E0,SOLO_5,155,-0.5418,0.194,-8.19,0.0,0.0,True
0900,3.0,5,E1,NESTED_15,634,-0.4693,0.153,-14.011,0.0,0.0,True
0900,3.0,5,E1,NESTED_30,796,-0.3765,0.178,-11.008,0.0,0.0,True
0900,3.0,5,E1,SOLO_5,967,-0.4231,0.19,-14.203,0.0,0.0,True
0900,4.0,1,E0,NESTED_15,334,-0.4588,0.15,-8.315,0.0,0.0,True
0900,4.0,1,E0,NESTED_30,150,-0.2361,0.22,-2.39,0.0181,0.0201,True
0900,4.0,1,E0,SOLO_5,1746,-0.435,0.183,-17.204,0.0,0.0,True
0900,4.0,1,E1,NESTED_15,495,-0.516,0.129,-12.542,0.0,0.0,True
0900,4.0,1,E1,NESTED_30,342,-0.5069,0.111,-9.9,0.0,0.0,True
0900,4.0,1,E1,SOLO_5,1625,-0.4589,0.159,-17.71,0.0,0.0,True
0900,4.0,1,E3,NESTED_15,344,-0.5163,0.122,-10.896,0.0,0.0,True
0900,4.0,1,E3,NESTED_30,147,-0.2579,0.211,-2.633,0.0094,0.0106,True
0900,4.0,1,E3,SOLO_5,1778,-0.5063,0.155,-21.647,0.0,0.0,True
0900,4.0,2,E0,NESTED_15,119,-0.456,0.134,-4.85,0.0,0.0,True
0900,4.0,2,E0,NESTED_30,52,-0.2009,0.231,-1.163,0.2501,0.2576,False
0900,4.0,2,E0,SOLO_5,577,-0.397,0.185,-8.752,0.0,0.0,True
0900,4.0,2,E1,NESTED_15,580,-0.5393,0.119,-14.287,0.0,0.0,True
0900,4.0,2,E1,NESTED_30,476,-0.4343,0.137,-9.048,0.0,0.0,True
0900,4.0,2,E1,SOLO_5,1375,-0.4355,0.153,-15.347,0.0,0.0,True
0900,4.0,3,E0,NESTED_15,68,-0.4331,0.176,-3.923,0.0002,0.0002,True
0900,4.0,3,E0,SOLO_5,340,-0.3902,0.203,-6.44,0.0,0.0,True
0900,4.0,3,E1,NESTED_15,614,-0.4891,0.127,-12.823,0.0,0.0,True
0900,4.0,3,E1,NESTED_30,602,-0.4364,0.133,-10.169,0.0,0.0,True
0900,4.0,3,E1,SOLO_5,1201,-0.4479,0.147,-14.987,0.0,0.0,True
0900,4.0,4,E0,NESTED_15,32,-0.7728,0.031,-9.789,0.0,0.0,True
0900,4.0,4,E0,SOLO_5,233,-0.4426,0.197,-6.253,0.0,0.0,True
0900,4.0,4,E1,NESTED_15,642,-0.4988,0.117,-13.553,0.0,0.0,True
0900,4.0,4,E1,NESTED_30,682,-0.44,0.129,-10.921,0.0,0.0,True
0900,4.0,4,E1,SOLO_5,1067,-0.4369,0.149,-13.812,0.0,0.0,True
0900,4.0,5,E0,SOLO_5,155,-0.6008,0.142,-8.901,0.0,0.0,True
0900,4.0,5,E1,NESTED_15,632,-0.442,0.13,-11.048,0.0,0.0,True
0900,4.0,5,E1,NESTED_30,789,-0.4062,0.136,-10.66,0.0,0.0,True
0900,4.0,5,E1,SOLO_5,966,-0.4317,0.149,-12.672,0.0,0.0,True
1000,1.0,1,E0,NESTED_15,290,-0.2701,0.39,-7.961,0.0,0.0,True
1000,1.0,1,E0,NESTED_30,91,-0.1353,0.495,-2.065,0.0418,0.0455,True
1000,1.0,1,E0,SOLO_5,2059,-0.3302,0.333,-26.973,0.0,0.0,True
1000,1.0,1,E1,NESTED_15,424,-0.3858,0.333,-13.644,0.0,0.0,True
1000,1.0,1,E1,NESTED_30,211,-0.4244,0.36,-9.768,0.0,0.0,True
1000,1.0,1,E1,SOLO_5,1947,-0.3747,0.335,-28.199,0.0,0.0,True
1000,1.0,1,E3,NESTED_15,277,-0.3568,0.339,-10.273,0.0,0.0,True
1000,1.0,1,E3,NESTED_30,86,-0.2571,0.442,-3.745,0.0003,0.0004,True
1000,1.0,1,E3,SOLO_5,1993,-0.4173,0.287,-33.352,0.0,0.0,True
1000,1.0,2,E0,NESTED_15,70,-0.2273,0.4,-3.334,0.0014,0.0016,True
1000,1.0,2,E0,NESTED_30,32,-0.2136,0.5,-1.788,0.0835,0.0886,True
1000,1.0,2,E0,SOLO_5,523,-0.3237,0.344,-13.171,0.0,0.0,True
1000,1.0,2,E1,NESTED_15,346,-0.3255,0.387,-10.243,0.0,0.0,True
1000,1.0,2,E1,NESTED_30,176,-0.398,0.352,-8.017,0.0,0.0,True
1000,1.0,2,E1,SOLO_5,1439,-0.3788,0.343,-23.8,0.0,0.0,True
1000,1.0,3,E0,SOLO_5,219,-0.3814,0.288,-10.008,0.0,0.0,True
1000,1.0,3,E1,NESTED_15,264,-0.2792,0.417,-7.378,0.0,0.0,True
1000,1.0,3,E1,NESTED_30,126,-0.3619,0.357,-6.377,0.0,0.0,True
1000,1.0,3,E1,SOLO_5,1073,-0.3638,0.348,-19.674,0.0,0.0,True
1000,1.0,4,E0,SOLO_5,138,-0.4133,0.268,-8.908,0.0,0.0,True
1000,1.0,4,E1,NESTED_15,252,-0.2953,0.373,-7.803,0.0,0.0,True
1000,1.0,4,E1,NESTED_30,112,-0.2999,0.402,-4.788,0.0,0.0,True
