instrument,session,dst_regime,g_filter,stack_level,stack_label,n,n_baseline,pct_of_baseline,avg_r,win_rate,sharpe,pvalue,pvalue_bh,sample_class
MNQ,0030,summer,G5,L4,size+dir+conc+vol,138,314,0.439500,0.252743,0.434783,2.797721,0.040297,0.116818,PRELIMINARY
MNQ,0030,summer,G5,L5,size+dir+conc+vol+cal,124,314,0.394900,0.185198,0.411290,2.064225,0.150162,0.225243,PRELIMINARY
MNQ,0030,summer,G6,L0,size,313,313,1.000000,0.043432,0.364217,0.499141,0.578417,0.606989,CORE
MNQ,0030,summer,G6,L1,size+dir,313,313,1.000000,0.043432,0.364217,0.499141,0.578417,0.606989,CORE
MNQ,0030,summer,G6,L2,size+conc,257,313,0.821100,0.215213,0.424125,2.406999,0.015755,0.107273,CORE
MNQ,0030,summer,G6,L3,size+dir+conc,257,313,0.821100,0.215213,0.424125,2.406999,0.015755,0.107273,CORE
MNQ,0030,summer,G6,L4,size+dir+conc+vol,138,313,0.440900,0.252743,0.434783,2.797721,0.040297,0.116818,PRELIMINARY
MNQ,0030,summer,G6,L5,size+dir+conc+vol+cal,124,313,0.396200,0.185198,0.411290,2.064225,0.150162,0.225243,PRELIMINARY
MNQ,0030,summer,G8,L0,size,312,312,1.000000,0.046777,0.365385,0.537206,0.550443,0.606989,CORE
MNQ,0030,summer,G8,L1,size+dir,312,312,1.000000,0.046777,0.365385,0.537206,0.550443,0.606989,CORE
MNQ,0030,summer,G8,L2,size+conc,256,312,0.820500,0.219960,0.425781,2.458817,0.013851,0.107273,CORE
MNQ,0030,summer,G8,L3,size+dir+conc,256,312,0.820500,0.219960,0.425781,2.458817,0.013851,0.107273,CORE
