instrument,orb_label,orb_minutes,entry_model,rr_target,confirm_bars,filter_type,sample_size,win_rate,expr,sharpe,wfe,fdr_significant,wf_passed,status,promoted_at
MNQ,LONDON_METALS,30,E2,2.0,1,ORB_G6_NOMON,996,0.3775,0.084,0.0603,0.8662,False,True,active,2026-03-23 16:02:18.669374+10:00
MNQ,LONDON_METALS,30,E2,2.5,1,ORB_G6_FAST5,424,0.2689,0.0835,0.0607,0.6319,False,True,active,2026-03-23 16:02:19.510965+10:00
MNQ,LONDON_METALS,30,E2,2.5,1,ORB_G6_NOMON,989,0.3236,0.0831,0.053,0.9164,False,True,active,2026-03-23 16:02:19.561520+10:00
MNQ,LONDON_METALS,5,E2,2.5,1,ORB_G6_FAST5,876,0.282,0.083,0.0624,0.5521,False,True,active,2026-03-23 16:02:19.536491+10:00
MNQ,LONDON_METALS,5,E2,2.5,1,ORB_G4_FAST5,889,0.2823,0.0822,0.0618,0.4787,False,True,active,2026-03-23 16:02:19.288011+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G8_FAST5,820,0.3902,0.0802,0.0593,0.663,False,True,active,2026-03-23 16:02:18.975313+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G6,1248,0.4054,0.0798,0.0793,0.6747,True,True,active,2026-03-23 16:02:17.080867+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G6_FAST10,1061,0.4062,0.0796,0.0792,0.8993,True,True,active,2026-03-23 16:02:16.743747+10:00
MNQ,LONDON_METALS,5,E2,2.5,1,ORB_G5_FAST5,886,0.281,0.0795,0.0598,0.4708,False,True,active,2026-03-23 16:02:19.384265+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,ORB_G5_FAST5,586,0.5068,0.0794,0.0968,0.3848,True,True,active,2026-03-23 16:02:14.786478+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,ORB_G8_FAST5,581,0.506,0.0793,0.0966,0.3813,True,True,active,2026-03-23 16:02:15.285681+10:00
MNQ,LONDON_METALS,5,E2,3.0,1,ORB_G6_FAST5,874,0.2426,0.0791,0.0539,0.144,False,True,active,2026-03-23 16:02:20.167648+10:00
MNQ,LONDON_METALS,5,E2,1.0,1,ORB_G8_NOMON,946,0.519,0.0791,0.0989,1.2085,True,True,active,2026-03-23 16:02:15.392743+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G4,1264,0.4059,0.0789,0.0785,0.6669,True,True,active,2026-03-23 16:02:16.163448+10:00
MNQ,LONDON_METALS,5,E2,1.0,1,ORB_G4_NOMON,1013,0.5232,0.0786,0.0991,1.1475,True,True,active,2026-03-23 16:02:14.601284+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,ORB_G6_FAST5,585,0.506,0.0785,0.0957,0.3906,False,True,active,2026-03-23 16:02:14.981955+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G6_CONT,1243,0.4047,0.0784,0.0779,0.663,True,True,active,2026-03-23 16:02:16.655062+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,ORB_G8,1255,0.5052,0.0782,0.0953,0.3826,True,True,active,2026-03-23 16:02:15.415086+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,NO_FILTER,1267,0.4057,0.0782,0.0778,0.6592,True,True,active,2026-03-23 16:02:15.648274+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G5,1259,0.4051,0.0782,0.0778,0.6611,True,True,active,2026-03-23 16:02:16.472106+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G5_FAST10,1072,0.4058,0.0777,0.0774,0.881,True,True,active,2026-03-23 16:02:16.343818+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,VOL_RV12_N20,920,0.5033,0.0777,0.0944,0.5691,True,True,active,2026-03-23 16:02:15.523400+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G4_FAST10,1076,0.4061,0.0777,0.0775,0.907,True,True,active,2026-03-23 16:02:15.952444+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,ORB_G8_CONT,1252,0.5048,0.0776,0.0945,0.3825,True,True,active,2026-03-23 16:02:15.212492+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G4_CONT,1259,0.4051,0.0776,0.0772,0.655,True,True,active,2026-03-23 16:02:15.858102+10:00
MNQ,LONDON_METALS,30,E2,2.5,1,ORB_G8_CONT,1215,0.3218,0.0776,0.0496,1.1222,False,True,active,2026-03-23 16:02:19.647167+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G6_FAST5,876,0.4053,0.0774,0.077,1.0328,False,True,active,2026-03-23 16:02:16.776126+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,ORB_G4,1265,0.5051,0.0771,0.0941,0.3616,True,True,active,2026-03-23 16:02:14.625891+10:00
MNQ,LONDON_METALS,30,E2,1.5,1,ORB_G6_NOMON,1003,0.3858,0.077,0.0737,0.6494,True,True,active,2026-03-23 16:02:16.922700+10:00
