strategy_id,orb_label,entry_model,rr_target,confirm_bars,filter_type,regime_n,regime_wr,regime_exp_r,regime_sharpe,regime_maxdd,regime_validated,full_n,full_wr,full_exp_r,full_sharpe,full_maxdd,full_validated,delta_exp_r,delta_sharpe
MGC_1100_E3_RR3.0_CB3_ORB_L3,1100,E3,3.0,3,ORB_L3,60,0.3167,-0.1096,-0.0828,10.7542,False,865,0.2303,-0.4101,-0.3746,358.4997,False,0.3005,0.2918
MGC_0900_E1_RR2.0_CB2_NO_FILTER,0900,E1,2.0,2,NO_FILTER,249,0.3896,-0.08,-0.0682,29.847,False,1217,0.3292,-0.3804,-0.4083,477.4566,False,0.3004,0.3401
MGC_1000_E2_RR4.0_CB2_ORB_L8,1000,E2,4.0,2,ORB_L8,230,0.2511,-0.0054,-0.0031,18.0205,False,1229,0.2093,-0.3047,-0.2203,398.7797,False,0.2993,0.2172
MGC_1000_E2_RR4.0_CB1_NO_FILTER,1000,E2,4.0,1,NO_FILTER,255,0.253,-0.005,-0.0029,31.4177,False,1274,0.2136,-0.3041,-0.2211,414.4625,False,0.2991,0.2182
MGC_0900_E2_RR3.0_CB2_ORB_G8,0900,E2,3.0,2,ORB_G8,22,0.4091,0.5259,0.2801,4.0,True,47,0.3256,0.2288,0.1278,7.1271,False,0.2971,0.1523
MGC_0900_E1_RR2.0_CB2_ORB_L8,0900,E1,2.0,2,ORB_L8,227,0.3877,-0.1017,-0.0886,32.7517,False,1170,0.3271,-0.3984,-0.4401,475.3613,False,0.2967,0.3515
MGC_1100_E3_RR4.0_CB5_ORB_L6,1100,E3,4.0,5,ORB_L6,148,0.2517,-0.0272,-0.0161,24.7562,False,1055,0.1992,-0.3238,-0.2344,347.9307,False,0.2966,0.2183
MGC_1100_E3_RR2.5_CB1_ORB_L3,1100,E3,2.5,1,ORB_L3,60,0.3667,-0.0874,-0.072,9.6575,False,893,0.2747,-0.3837,-0.3773,347.2123,False,0.2963,0.3053
MGC_2300_E3_RR4.0_CB2_ORB_G8,2300,E3,4.0,2,ORB_G8,34,0.2414,0.1251,0.0616,12.0,True,56,0.1778,-0.1707,-0.0947,14.0,False,0.2958,0.1563
MGC_0030_E1_RR1.5_CB5_ORB_L4,0030,E1,1.5,5,ORB_L4,82,0.5325,0.1167,0.1104,9.4798,True,839,0.411,-0.179,-0.1809,138.0305,False,0.2957,0.2913
MGC_0900_E2_RR4.0_CB4_ORB_L4,0900,E2,4.0,4,ORB_L4,167,0.2395,-0.1079,-0.067,31.3937,False,1081,0.1937,-0.4032,-0.3221,446.9939,False,0.2953,0.2551
MGC_1000_E1_RR3.0_CB1_ORB_L8,1000,E1,3.0,1,ORB_L8,233,0.3176,-0.0087,-0.0059,22.918,False,1239,0.2728,-0.3035,-0.2587,397.2693,False,0.2948,0.2528
MGC_0900_E1_RR1.0_CB2_ORB_L2,0900,E1,1.0,2,ORB_L2,102,0.6275,-0.146,-0.2174,18.0723,False,948,0.5042,-0.4404,-0.756,419.327,False,0.2944,0.5386
MGC_0900_E1_RR2.0_CB1_NO_FILTER,0900,E1,2.0,1,NO_FILTER,250,0.376,-0.1332,-0.1167,42.6896,False,1229,0.3176,-0.4265,-0.4768,537.4729,False,0.2933,0.3601
